Codice identificativo	Regione	Nome carcere	Tipo carcere	Latitude	Longitude	Numero stanze	Stanze non disponibili	Percentuale stanze non disponibili					
MII181661	Friuli-Venezia Giulia	Trieste	Casa circondariale	45,6556788	13,78073313	64	4	6,3					
MII182440	Abruzzo	Avezzano	Casa circondariale	42,0347963	13,4265048	33	2	6,1					
MII182919	Toscana	Pisa	Casa circondariale	43,71851375	10,41402939	153	9	5,9					
MII181908	Calabria	Vibo Valentia	Casa circondariale	38,677407	16,0924801	154	9	5,8					
MII169535	Lazio	Rieti	Casa circondariale	42,4016906	12,8629993	157	9	5,7					
MII176403	Emilia-Romagna	Forlì	Casa circondariale	44,2226017	12,0409384	123	7	5,7					
MII179364	Emilia-Romagna	Parma	Casa di reclusione	44,8167494	10,36522212	515	28	5,4					
MII180424	Veneto	Rovigo	Casa circondariale	45,0843329	11,81300853	113	6	5,3					
MII181377	Puglia	Taranto	Casa circondariale	40,45574895	17,29388354	349	17	4,9					
MII181891	Veneto	Verona	Casa circondariale	45,44345285	11,04808194	308	15	4,9					
MII180451	Sicilia	San Cataldo	Casa di reclusione	37,488445	13,993065	21	1	4,8					
MII180348	Lazio	Roma Rebibbia femminile	Casa circondariale	41,93451235	12,57406556	171	8	4,7					
MII159065	Marche	Ascoli Piceno	Casa circondariale	42,8546185	13,5755038	65	3	4,6					
MII176375	Puglia	Foggia	Casa circondariale	41,50281055	15,45289961	213	9	4,2					
MII176437	Lazio	Frosinone	Casa circondariale	41,6419807	13,3469287	333	14	4,2					
MII178124	Basilicata	Matera	Casa circondariale	40,676213	16,60599858	49	2	4,1					
MII173747	Lombardia	Cremona	Casa circondariale	45,1334796	10,0248716	252	10	4					
MII176781	Piemonte	Ivrea	Casa circondariale	45,4673791	7,874797	189	7	3,7					
MII178085	Toscana	Massa	Casa di reclusione	44,0231028	10,1371655	109	4	3,7					
MII172814	Valle d'Aosta	Brissogne - Aosta	Casa circondariale	45,7285199	7,4066634	167	6	3,6					
MII181079	Campania	Sant'Angelo dei Lombardi	Casa di reclusione	40,9101396	15,1892849	86	3	3,5					
